Time,Status,Message,Season,Round,Date
0 days 00:08:19.127000,2,Yellow,2019,4,2019-04-28 12:18:19.127
0 days 00:08:42.220000,1,AllClear,2019,4,2019-04-28 12:18:42.220
0 days 00:09:00.023000,2,Yellow,2019,4,2019-04-28 12:19:00.023
0 days 00:09:03.208000,1,AllClear,2019,4,2019-04-28 12:19:03.208
0 days 00:29:00.646000,2,Yellow,2019,4,2019-04-28 12:39:00.646
0 days 00:29:10.240000,1,AllClear,2019,4,2019-04-28 12:39:10.240
0 days 01:29:17.788000,2,Yellow,2019,4,2019-04-28 13:39:17.788
0 days 01:30:06.538000,1,AllClear,2019,4,2019-04-28 13:40:06.538
0 days 01:32:14.820000,2,Yellow,2019,4,2019-04-28 13:42:14.820
0 days 01:32:24.573000,1,AllClear,2019,4,2019-04-28 13:42:24.573
0 days 01:43:24.755000,2,Yellow,2019,4,2019-04-28 13:53:24.755
0 days 01:43:44.117000,6,VSCDeployed,2019,4,2019-04-28 13:53:44.117
0 days 01:46:55.319000,7,VSCEnding,2019,4,2019-04-28 13:56:55.319
0 days 01:47:09.895000,1,AllClear,2019,4,2019-04-28 13:57:09.895
0 days 00:11:56.307000,1,AllClear,2019,5,2019-05-12 13:21:56.307
0 days 00:21:29.417000,2,Yellow,2019,5,2019-05-12 13:31:29.417
0 days 00:21:34.798000,1,AllClear,2019,5,2019-05-12 13:31:34.798
0 days 00:33:44.426000,2,Yellow,2019,5,2019-05-12 13:43:44.426
0 days 00:33:52.697000,1,AllClear,2019,5,2019-05-12 13:43:52.697
0 days 01:35:42.720000,2,Yellow,2019,5,2019-05-12 14:45:42.720
0 days 01:36:08.106000,4,SCDeployed,2019,5,2019-05-12 14:46:08.106
0 days 01:50:14.665000,1,AllClear,2019,5,2019-05-12 15:00:14.665
0 days 00:04:42.136000,1,AllClear,2019,6,2019-05-26 13:14:42.136
0 days 00:24:57.650000,2,Yellow,2019,6,2019-05-26 13:34:57.650
0 days 00:25:03.853000,1,AllClear,2019,6,2019-05-26 13:35:03.853
0 days 00:25:09.482000,2,Yellow,2019,6,2019-05-26 13:35:09.482
0 days 00:25:18.636000,1,AllClear,2019,6,2019-05-26 13:35:18.636
0 days 00:25:31.865000,2,Yellow,2019,6,2019-05-26 13:35:31.865
0 days 00:25:38.079000,1,AllClear,2019,6,2019-05-26 13:35:38.079
0 days 00:25:42.701000,2,Yellow,2019,6,2019-05-26 13:35:42.701
0 days 00:25:57.176000,1,AllClear,2019,6,2019-05-26 13:35:57.176
0 days 00:33:21.929000,2,Yellow,2019,6,2019-05-26 13:43:21.929
0 days 00:33:25.453000,1,AllClear,2019,6,2019-05-26 13:43:25.453
0 days 00:40:25.914000,2,Yellow,2019,6,2019-05-26 13:50:25.914
0 days 00:40:29.162000,1,AllClear,2019,6,2019-05-26 13:50:29.162
0 days 00:43:28.466000,2,Yellow,2019,6,2019-05-26 13:53:28.466
0 days 00:43:32.405000,1,AllClear,2019,6,2019-05-26 13:53:32.405
0 days 00:44:14.388000,2,Yellow,2019,6,2019-05-26 13:54:14.388
0 days 00:44:17.198000,1,AllClear,2019,6,2019-05-26 13:54:17.198
